[70161:70161:1128/083022.849215:WARNING:chrome_main_delegate.cc(660)] This is Chrome version 119.0.6045.105 (not a warning)
[70161:70183:1128/083023.228760:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.229134:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083023.229352:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70161:1128/083049.125968:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.126600:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.126961:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.127234:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.127531:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.127808:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.128076:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.128340:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.128523:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.128697:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.128863:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.129094:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.129295:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.129480:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.129653:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.129915:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.130097:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.130306:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.130494:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.130697:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.130878:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.131072:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.131281:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.131490:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.131671:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.131850:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.132023:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.132408:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083049.320168:INFO:CONSOLE(1)] "react-i18next:: It seems you are still using the old wait option, you may migrate to the new useSuspense behaviour.", source: https://s2.coinmarketcap.com/_next/static/chunks/pages/_app-594dffddbbffcfc.js (1)
[70161:70161:1128/083049.320698:INFO:CONSOLE(1)] "react-i18next:: i18n.languages were undefined or empty undefined", source: https://s2.coinmarketcap.com/_next/static/chunks/pages/_app-594dffddbbffcfc.js (1)
[70161:70161:1128/083049.775611:INFO:CONSOLE(1)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://s2.coinmarketcap.com/_next/static/chunks/framework-a01a042509ba197.js (1)
[70161:70161:1128/083049.775965:INFO:CONSOLE(1)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://s2.coinmarketcap.com/_next/static/chunks/framework-a01a042509ba197.js (1)
[70161:70161:1128/083049.776687:INFO:CONSOLE(1)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://s2.coinmarketcap.com/_next/static/chunks/framework-a01a042509ba197.js (1)
[70161:70161:1128/083049.776981:INFO:CONSOLE(1)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://s2.coinmarketcap.com/_next/static/chunks/framework-a01a042509ba197.js (1)
[70161:70161:1128/083051.241880:INFO:CONSOLE(254)] "[Audigent] cannot find a required consent framework, halt execution", source: https://a.ad.gt/api/v1/u/matches/617?_it=amazon (254)
[70161:70161:1128/083051.242899:INFO:CONSOLE(0)] "Access to fetch at 'https://lb.eu-1-id5-sync.com/lb/v1' from origin 'https://coinmarketcap.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource. If an opaque response serves your needs, set the request's mode to 'no-cors' to fetch the resource with CORS disabled.", source: https://coinmarketcap.com/currencies/bitcoin/ (0)
[70161:70161:1128/083051.351594:INFO:CONSOLE(0)] "Access to XMLHttpRequest at 'https://id5-sync.com/gm/v3' from origin 'https://coinmarketcap.com' has been blocked by CORS policy: No 'Access-Control-Allow-Origin' header is present on the requested resource.", source: https://coinmarketcap.com/currencies/bitcoin/ (0)
[70161:70183:1128/083056.195626:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70183:1128/083056.196015:ERROR:bus.cc(407)] Failed to connect to the bus: Failed to connect to socket /run/user/1000/bus: No such file or directory
[70161:70161:1128/083058.990512:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/currencies/bitcoin/ (1)
[70161:70161:1128/083058.991607:INFO:CONSOLE(1)] "A parser-blocking, cross site (i.e. different eTLD+1) script, https://cdn.cookielaw.org/scripttemplates/otSDKStub.js, is invoked via document.write. The network request for this script MAY be blocked by the browser in this or a future page load due to poor network connectivity. If blocked in this page load, it will be confirmed in a subsequent console message. See https://www.chromestatus.com/feature/5718547946799104 for more details.", source: https://coinmarketcap.com/currencies/bitcoin/ (1)
[70161:70161:1128/083059.024244:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.024857:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.025134:INFO:CONSOLE(800)] "Error: <svg> attribute height: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
[70161:70161:1128/083059.025426:INFO:CONSOLE(800)] "Error: <svg> attribute width: Expected length, "var(--c-font-siz…".", source: https://coinmarketcap.com/currencies/bitcoin/ (800)
